id	m49_code	display_name	full_name	is_ldc	is_lldc	is_sids	development_status	m49_region_id	m49_sub_region_id	m49_intermediate_region_id
KAZ	398	Kazakhstan	Kazakhstan	0	1	0	developing	asia	central_asia	NULL
KEN	404	Kenya	Kenya	0	0	0	developing	africa	sub_saharan_africa	eastern_africa
KGZ	417	Kyrgyzstan	Kyrgyzstan	0	1	0	developing	asia	central_asia	NULL
KHM	116	Cambodia	Cambodia	1	0	0	developing	asia	south_eastern_asia	NULL
KIR	296	Kiribati	Kiribati	1	0	1	developing	oceania	micronesia	NULL
KNA	659	Saint Kitts and Nevis	Saint Kitts and Nevis	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
KOR	410	South Korea	Republic of Korea	0	0	0	developing	asia	eastern_asia	NULL
KWT	414	Kuwait	Kuwait	0	0	0	developing	asia	western_asia	NULL
LAO	418	Lao	Lao People's Democratic Republic	1	1	0	developing	asia	south_eastern_asia	NULL
LBN	422	Lebanon	Lebanon	0	0	0	developing	asia	western_asia	NULL
LBR	430	Liberia	Liberia	1	0	0	developing	africa	sub_saharan_africa	western_africa
LBY	434	Libya	Libya	0	0	0	developing	africa	northern_africa	NULL
LCA	662	Saint Lucia	Saint Lucia	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
LIE	438	Liechtenstein	Liechtenstein	0	0	0	developed	europe	western_europe	NULL
LKA	144	Sri Lanka	Sri Lanka	0	0	0	developing	asia	southern_asia	NULL
LSO	426	Lesotho	Lesotho	1	1	0	developing	africa	sub_saharan_africa	southern_africa
LTU	440	Lithuania	Lithuania	0	0	0	developed	europe	northern_europe	NULL
LUX	442	Luxembourg	Luxembourg	0	0	0	developed	europe	western_europe	NULL
LVA	428	Latvia	Latvia	0	0	0	developed	europe	northern_europe	NULL
MAC	446	Macao	China, Macao Special Administrative Region	0	0	0	developing	asia	eastern_asia	NULL
